CensusSection;HouseholdIncome2016
2807913143;27391
2807913144;21853
2807913145;18898
2807913146;25175
2807913147;25024
2807913148;20620
2807913150;21456
2807913153;21594
2807913154;24665
2807913155;24205
2807913156;23419
2807913157;24940
2807913158;25278
2807913160;26193
2807913161;30198
2807913162;24311
2807913163;24515
2807913164;28045
2807913166;27703
2807913168;24052
2807913169;23234
2807913170;24149
2807913171;26655
2807913172;21309
2807913173;19694
2807913174;23819
2807913175;23419
2807913176;21680
2807913177;20883
2807913178;24118
2807913179;24169
2807913180;23966
2807913181;22985
2807913182;35287
2807913183;37485
2807913184;30340
2807913185;22615
2807913186;23804
2807913187;22842
2807913189;23184
2807913190;22238
2807913191;30050
2807913192;22501
2807913193;22888
2807913194;21111
2807913195;25570
2807913196;25592
2807913197;24652
2807913198;26608
2807913199;37065
2807913200;24677
2807913201;23572
2807913202;31418
2807913203;42407
2807913204;33499
2807913205;36126
2807913206;23104
2807913207;39499
2807913208;37236
2807913209;34489
2807913210;24758
2807913211;35174
2807913212;33219
2807913213;29882
2807913214;20839
2807913215;21263
2807913216;33010
2807914001;29599
2807914002;24386
2807914003;26810
2807914004;34054
2807914005;32073
2807914006;29973
2807914010;53913
2807914012;29686
2807914013;39817
2807914014;39968
2807914015;40456
2807914016;38899
2807914017;40114
2807914018;37182
2807914019;37296
2807914020;39363
2807914021;36694
2807914022;40864
2807914023;38447
2807914024;39330
2807914025;28932
2807914026;25665
2807914027;27715
2807914028;23736
2807914029;28351
2807914030;45825
2807914031;36908
2807914032;36876
2807914033;30085
2807914034;37206
2807914035;25757
2807914036;28050
2807914037;26237
2807914038;23193
2807914039;28971
2807914040;42378
2807914041;54595
2807914042;54005
2807914043;39812
2807914044;35640
2807914045;30566
2807914046;27908
2807914047;23847
2807914048;29083
2807914049;27874
2807914050;25624
2807914051;24857
